Area;Prof;Transecto;D;Ug;Uv;Pt;Ea;Carbono;EstC
AC;0-20;T2;0,779941706;22,20146085;17,31584526;71,11327013;53,79742488;40;6,239533648
AC;20-40;T2;0,888977213;15,69299553;13,95071542;67,07491806;53,12420263;40;7,111817704
AC;40-60;T2;0,880498145;20,55371652;18,09750927;67,38895759;49,29144831;40;7,04398516
AC;0-20;T6;0,672098569;27,71535581;18,62745098;75,1074604;56,48000942;40;5,376788552
AC;20-40;T6;0,892289348;20,02969562;17,87228405;66,95224636;49,07996232;40;7,138314784
AC;40-60;T6;0,895071542;18,01361753;16,12347642;66,84920214;50,72572573;40;7,160572336
AC;0-20;T8;0,693693694;22,09702063;15,32856386;74,30764097;58,97907712;40;5,549549552
AC;20-40;T8;0,880630631;16,86475102;14,85161632;67,38405072;52,5324344;40;7,045045048
AC;40-60;T8;0,943561208;18,32350463;17,28934817;65,05328858;47,76394041;40;7,548489664
AC;0-20;T9;0,914414414;15,73456969;14,38791733;66,13279947;51,74488214;40;7,315315312
AC;20-40;T9;0,98290938;11,90187357;11,69846317;63,59594889;51,89748572;40;7,86327504
AC;40-60;T9;0,993508214;13,52180291;13,43402226;63,20339948;49,76937722;40;7,948065712
AC;0-20;T10;0,981584526;16,39897422;16,09697933;63,64501757;47,54803823;40;7,852676208
AC;20-40;T10;0,97827239;15,20855905;14,87811341;63,76768926;48,88957585;40;7,82617912
AC;40-60;T10;1,114069952;11,52336782;12,83783784;58,73814991;45,90031208;40;8,912559616
A0;0-20;T3;1,244965554;8,885814622;11,06253312;53,89016467;42,82763155;40;9,959724432
A0;20-40;T3;1,162559618;5,698005698;6,62427133;56,94223635;50,31796502;40;9,300476944
A0;40-60;T3;1,006756757;10,25134886;10,32061473;62,71271271;52,39209798;40;8,054054056
A0;0-20;T4;1,000662427;6,355090692;6,359300477;62,93842862;56,57912815;40;8,005299416
A0;20-40;T4;1,021860095;7,195643718;7,352941176;62,1533298;54,80038862;40;8,17488076
A0;40-60;T4;1,061075782;11,59945062;12,30789613;60,70089698;48,39300084;40;8,488606256
A0;0-20;T6;0,990063593;7,547169811;7,47217806;63,33097804;55,85879998;40;7,920508744
A0;20-40;T6;1,097509274;4,369869628;4,795972443;59,35150837;54,55553593;40;8,780074192
A0;40-60;T6;1,157392687;7,978479853;9,234234234;57,13360419;47,89936996;40;9,259141496
A0;0-20;T7;1,223502915;4,948565241;6,054583996;54,68507723;48,63049324;40;9,78802332
A0;20-40;T7;1,207869634;4,179006252;5,047694754;55,26408762;50,21639286;40;9,662957072
A0;40-60;T7;1,194223635;3,982693588;4,756226815;55,76949499;51,01326817;40;9,55378908
A0;0-20;T8;1,245495495;4,308052335;5,365659777;53,8705372;48,50487743;40;9,96396396
A0;20-40;T8;0,971383148;11,7157665;11,38049815;64,02284638;52,64234823;40;7,771065184
A0;40-60;T8;1,069289878;7,818114236;8,359830419;60,39667118;52,03684076;40;8,554319024
A0;0-20;T9;1,06200318;7,871756487;8,359830419;60,6665489;52,30671848;40;8,49602544
A0;20-40;T9;0,932697403;9,460227273;8,823529412;65,45565173;56,63212232;40;7,461579224
A0;40-60;T9;1,013513514;4,470588235;4,53100159;62,46246246;57,93146087;40;8,108108112
A2,5;0-20;T12;1,034976153;6,387608807;6,611022787;61,6675499;55,05652712;40;8,279809224
A2,5;20-40;T12;0,938261791;8,330979949;7,81664017;65,24956329;57,43292312;40;7,506094328
A2,5;40-60;T12;1,053656598;5,620520558;5,922098569;60,97568156;55,05358299;40;8,429252784
A2,5;0-20;T11;1,028351881;6,183973203;6,359300477;61,91289329;55,55359281;40;8,226815048
A2,5;20-40;T11;0,947403286;8,250594322;7,81664017;64,91098942;57,09434925;40;7,579226288
A2,5;40-60;T11;0,955882353;7,401247401;7,074721781;64,59694989;57,52222811;40;7,647058824
A2,5;0-20;T27;1,000132485;7,351967148;7,352941176;62,9580561;55,60511492;40;8,00105988
A2,5;20-40;T27;1,061870694;4,965689333;5,272919979;60,67145577;55,39853579;40;8,494965552
A2,5;40-60;T27;1,24536301;5,170212766;6,438791733;53,87544407;47,43665234;40;9,96290408
A2,5;0-20;T18;1,153683095;8,222324299;9,485956545;57,27099649;47,78503994;40;9,22946476
A2,5;20-40;T18;1,088897721;6,411972259;6,981981982;59,67045477;52,68847279;40;8,711181768
A2,5;40-60;T18;1,203100159;5,979517674;7,193958665;55,44073485;48,24677619;40;9,624801272
A2,5;0-20;T20;1,106120827;5,976763684;6,611022787;59,03256197;52,42153919;40;8,848966616
A2,5;20-40;T20;1,146131426;5,768119293;6,611022787;57,55068794;50,93966516;40;9,169051408
A2,5;40-60;T20;1,366587175;6,097915657;8,333333333;49,38566017;41,05232684;40;10,9326974
