A;T;S;ss
NC;C1;156.52;156,52
NC;C2;147.0733333;147,07
NC;C3;136.7833333;136,78
NC;C4;129.99;129,99
NC;C5;171.9733333;171,97
NC;C6;181.4133333;181,41
NC;C7;140.69;140,69
NC;C8;117.6333333;117,63
NC;C9;128.9033333;128,9
NC;C10;170.39;170,39
CSP;A1;172.13;172,13
CSP;A2;256.27;256,27
CSP;A3;171;171,00
CSP;A4;165.18;165,18
CSP;A5;182.31;182,31
CSP;A6;153.9066667;153,90
CSP;A7;152.8366667;152,84
CSP;A8;155.8666667;155,87
CSP;A9;179.0366667;179,03
CSP;A10;152.29;152,29
FSP;P1;134.7033333;134,70
FSP;P2;183.1433333;183,14
FSP;P3;173.26;173,26
FSP;P4;149.7733333;149,77
FSP;P5;148.9033333;148,90
FSP;P6;155.71;155,71
FSP;P7;107.56;107,56
FSP;P8;172.9433333;172,94
FSP;P9;165.2233333;165,22
FSP;P10;152.9533333;152,95
